Organization Name,Address,City,State,Zip Code,Main Phone #,Discipline,Council District,Community Board,Borough
Anthropology Museum of the People of New York,64-19 Kissena Boulevard,Flushing,NY,11367,(718) 428-5650,Museum,Queens Council District #24,Queens Community Board #8,Queens
"Anti-Social Music, Inc.",71 Ocean Parkway 3H,Brooklyn,NY,11218,(646) 489-8791,Music,Brooklyn Council District #33,Brooklyn Community Board #8,Brooklyn
Anyone Corporation,41 West 25th Street,New York,NY,10010,(212) 645-1400,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Aperture Foundation, Inc.","547 West 27th Street, 4th Floor",New York,NY,10001,(212) 946-7117,Photography,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
ApexArt Curatorial Program,291 Church Street,New York,NY,10013,(212) 431-5270,Visual Arts,Manhattan Council District #1,Manhattan Community Board #10,Manhattan
"Apollo Theater Foundation, Inc.",253 West 125th Street,New York,NY,10027,(212) 531-5332,"Multi-Discipline, Performing",Manhattan Council District #9,Manhattan Community Board #10,Manhattan
"Appleby Foundation, Inc.","579 Broadway, 4B, Apt. 4B",New York,NY,10012,(212) 431-8489,Dance,Manhattan Council District #2,Manhattan Community Board #1,Manhattan
"Aquila Theatre Company, Inc.",100 Washington Square East,New York,NY,10003,(212) 992-9642,Theater,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Arab American Association of NY, Inc.",7111 5th Avenue,Brooklyn,NY,11209,(718) 745-3523,"Multi-Discipline, Performing",Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn
"Archipelago Books, Inc.","232 Third Street, Room A111",Brooklyn,NY,11215,(718) 852-6134,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
Architectural League of New York,"594 Broadway, Suite 607",New York,NY,10012,(212) 753-1722,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Archive for Research in Archetypal Symbolism,28 East 39th Street,New York,NY,10016,(212) 697-3480,Other,Manhattan Council District #4,Manhattan Community Board #6,Manhattan
"Arcos Orchestra, Ltd.",17 E 96th St 14B,New York,NY,10128,(772) 766-2851,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
Ardea Arts,463 Broome Street,New York,NY,10013,(212) 431-7039,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Arete Education, Inc.",557 Grand Concourse,Bronx,NY,10451,(646) 504-2015,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #8,Bronx Community Board #1,Bronx
Arete Living Arts Foundation,64 Dupont St 2L,Brooklyn,NY,11222,(718) 349-1681,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
Argento New Music Project,PO Box 824,New York,NY,10024-0540,(212) 665-4444,Music,Manhattan Council District #9,Manhattan Community Board #9,Manhattan
"Armitage Foundation, Ltd.",9 North Moore St. #4,New York,NY,10013,(212) 431-4314,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Around the Block, Inc.","5 East 22nd Street, Suite 9K",New York,NY,10010,(212) 673-9187,Theater,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
"Ars Nova Theater I, Inc.",511 West 54th Street,New York,NY,10019,(212) 489-9800 x139,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #4,Manhattan
"Art Beyond Sight, Inc.",589 Broadway,New York,NY,10012,(212) 334-8720,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan
Art Connects New York,"4 West 43rd Street, #507",New York,NY,10036,(646) 546-5334,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Art Creates Us, Inc.",601 WEST 26TH ST,NEW YORK,NY,10001,(212) 256-1947,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Brooklyn
"Art Deco Society of New York, Inc.",P.O. Box 6205,New York,NY,10150,(212) 679-3326,Architecture/Design,Manhattan Council District #5,Manhattan Community Board #6,Bronx
"Art Directors Club, Inc.",106 West 29th Street,New York,NY,10001,(212) 643-1440,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Art For Progress,"133 Mulberry Street, #4W1",New York,NY,10013,(212) 475-4185,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #2,Manhattan
Art House Astoria Conservatory for Music and Art,23-35 Broadway,Astoria,NY,11106,(347) 738-4148,"Multi-Discipl, Perf & Non-Perf",Queens Council District #22,Queens Community Board #1,Queens
"Art Lab, Inc.",1000 Richmond Terrace,Staten Island,NY,10301,(718) 447-8667,Visual Arts,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
Art Loisaida Foundation,608 E.9th St.,New York,NY,10009,(212) 674-4057,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Art Omi Inc.,"55 Fifth Avenue, 15th Floor",New York,NY,10003,(212) 206-5660,"Multi-Discipline, Performing",Manhattan Council District #2,Brooklyn Community Board #3,Manhattan
"Art Radio International, Inc.",222 East 41st Street,New York,NY,10017,(212) 233-1096,New Media,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Art Resources Transfer,"526 W 26th St., #614",New York,NY,10001,(212) 255-2919,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Art Resources for Teachers and Students, Inc.",134 Henry Street,New York,NY,11372,(212) 962-8231,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"Art Song Preservation Society of New York, Inc.",PO Box 177,New York,NY,10113,(646) 263-7829,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Art Start, Inc.",526 West 26th Street Suite 501,New York,NY,10001,(212) 460-0019,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Art Students League of New York,215 West 57th Street,New York,NY,10019,(212) 247-4510 x108,Visual Arts,Manhattan Council District #7,Manhattan Community Board #5,Manhattan
"Art Sweats, Inc.","140 Second Avenue, Apt. 503",New York,NY,10003,(212) 677-2503,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Art for Change, Inc.",1699 Lexington Avenue,New York,NY,10029,(212) 348-7044,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"Art in General, Inc.",79 Walker Street,New York,NY,10013,(212) 219-0473 x36,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Art of the Early Keyboard, Inc.","170 West 73rd Street, Apt. 3C",New York,NY,10023,(212) 967-9157,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Art's House Schools, Inc.",1001-1003 Surf Avenue,Brooklyn,NY,11224,(718) 996-2000,Dance,Brooklyn Council District #48,Brooklyn Community Board #13,Brooklyn
"Art21, Inc.",133 West 25th Street,New York,NY,10001,(212) 741-7133,Visual Arts,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"ArtBridge Projects, Inc.",526 W 26th St.,New York,NY,10001,(917) 720-5742,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Bronx
"ArtCouncil, Inc.","210 Eleventh Avenue, Ste. 503",New York,NY,10001,(212) 727-2233 x207,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"ArtCrawl Harlem, Inc.",363 Malcolm X Blvd,New York,NY,10027,(212) 866-7427,Visual Arts,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
"ArteEast, Inc.",300 Cadman Plaza West,Brooklyn,NY,11201,(718) 282-5938,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #4,Brooklyn
"Arthur Aviles Typical Theatre, Inc.",2474 Westchester Avenue,Bronx,NY,10461,(718) 842-5223,"Multi-Discipline, Performing",Bronx Council District #17,Bronx Community Board #2,Bronx
"Artichoke Dance Company, Inc.",121 Sterling Place,Brooklyn,NY,11217,(917) 627-8770,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
Artist Exchange International on Broadway,"107 Suffolk Street, #35",New York,NY,10002,(212) 226-5169,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Artist's Theatre Repertory Ensemble, Inc.",6776 Booth St,Forest Hills,NY,11375,(718) 683-2225,Theater,Queens Council District #29,Queens Community Board #6,Queens
"Artistic Dreams International, Inc.",P.O Box 89,NEW YORK,NY,10027,(917) 294-1431,Visual Arts,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Artistic Noise, Inc.",315 Flatbush Ave #507,Brooklyn,NY,11217,(718) 496-8873,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #8,Bronx
"Artists Alliance, Inc.","107 Suffolk Street, Room 411",New York,NY,10002,(212) 420-9202,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Artists Space,"38 Greene Street, 3rd Floor",New York,NY,10013,(212) 226-3970 x307,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Artists Unite, Inc.",730 W. 183rd Street #3D,New York,NY,10033,(917) 312-6691,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #12,Manhattan
"Artists in Residence, Inc.",155 Plymouth Street,Brooklyn,NY,11201,(212) 255-6651,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Arts & Business Council, Inc.","1 East 53rd Street, 3rd Floor",New York,NY,10022,(212) 279-5910 x1119,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Arts @ Henson-Parks, Inc.",11460 174TH STREET,JAMAICA,NY,11434,(646) 996-8500,Photography,Queens Council District #27,Queens Community Board #12,Queens
"Arts Connection, Inc.","520 Eighth Avenue, Suite 321",New York,NY,10018,(212) 302-7433 x468,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Arts Engine, Inc.",145 West 24th Street,New York,NY,10011,(646) 230-6368 x214,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Arts For All, Inc.","119 West 23rd Street, 5th Floor",New York,NY,10011,(212) 591-6108,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #2,Manhattan
Arts Horizons LeRoy Neiman Art Center,2785 Frederick Douglass Blvd.,New York,NY,10039,(212) 862-2787,Visual Arts,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
Arts Indonesia,49 India St. apt 4L,Brooklyn,NY,11222,(617) 767-9435,"Multi-Discipline, Performing",Manhattan Council District #9,Manhattan Community Board #10,Manhattan
"Arts Resources in Collaboration, Inc.",70 East 10th Street,New York,NY,10003,(212) 206-6492,Dance,Manhattan Council District #6,Manhattan Community Board #3,Manhattan
"Arts for Art, Inc.","107 Suffolk Street, #300",New York,NY,10002,(212) 254-5420,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Arts in the Armed Forces,PO Box 20687,Brooklyn,NY,11202,(917) 855-8455,Theater,Brooklyn Council District #39,Brooklyn Community Board #7,Manhattan
"Artsgenesis, Inc.","154 Christopher Street, Suite 2A",New York,NY,10014,(212) 741-1414 x15,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Ascension Music Chorus and Orchestra, Inc.",12 West 11th Street,New York,NY,10011,(212) 358-1469,Music,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Asia Art Archive in America, Inc.",43 Remsen Street (Garden Floor),Brooklyn,NY,11201,(718) 522-2299,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
Asia Society,725 Park Avenue,New York,NY,10021,(212) 327-9218,Museum,Manhattan Council District #4,Manhattan Community Board #4,Manhattan
"Asian American Activity Center, Inc.","396 Broadway, Suite 205",New York,NY,10013,(212) 431-0368,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Asian American Arts Alliance,"20 Jay Street, Suite 740",Brooklyn,NY,11201,(212) 941-9208 x1,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Asian American Arts Centre, Inc.","26 Bowery, 3rd Floor",New York,NY,10013,(212) 233-2154,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
Asian American Coalition for Education,202-39 Rocky Hill Road,Bayside,NY,11361,(718) 229-1368,"Multi-Discipl, Perf & Non-Perf",Queens Council District #19,Queens Community Board #11,Queens
"Asian American Film Lab, Inc.",333 E 91 Street,New York,NY,10128,(646) 535-5212,Film/Video/Audio,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
"Asian American Women Artists Alliance, Inc.",136 15th Street,Brooklyn,NY,11215,(718) 788-6170,Visual Arts,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn
Asian American Writers' Workshop,110-112 West 27th Street,New York,NY,10001,(212) 494-0061,Literature,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Asian CineVision, Inc.",115 West 30th Street,New York,NY,10001,(212) 989-1422,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Asian Cultural Council, Inc.",6 West 48th Street,New York,NY,10036,(212) 843-0367,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Association for Development of Dramatic Arts, Inc.","301 East 57th St., 3rd Fl.",New York,NY,10022,(212) 583-2706 x15,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"Association for the Advancement of Creative Musicians, New York City Chapter, Inc.",P.O. Box 187,New York,NY,10108,(212) 594-7121,Music,Manhattan Council District #2,Manhattan Community Board #4,Manhattan
"Association of Dominican Classical Artists, Inc.",699 East 137 Street,Bronx,NY,10454,(917) 331-6122,"Multi-Discipline, Performing",Bronx Council District #8,Bronx Community Board #1,Manhattan
"Association of Hispanic Arts, Inc.",1702 Lexington Avenue,New York,NY,10029,(212) 876-1242,Other,Manhattan Council District #8,Manhattan Community Board #11,Manhattan
Astoria Big Band,"161 Sixth Avenue, 14th floor",New York,NY,10013,(212) 691-6969 x13,Music,,Manhattan Community Board #1,Manhattan
"Astoria Music Society, Inc.",22-70 23rd Street,Astoria,NY,11105,(718) 721-8311,Music,Queens Council District #22,Queens Community Board #1,Queens
Astoria Performing Arts Center,Kaufman Astoria Studios,Astoria,NY,11106,(917) 566-0969,Theater,Queens Council District #22,Queens Community Board #1,Queens
"At Hand Theatre Company, Inc.",214 West 122nd Street #2,New York,NY,10027,(646) 334-8352,Theater,Queens Council District #26,Queens Community Board #2,Queens
Athena Theatre,1224 St. Nicholas Avenue,New York,NY,10032,(818) 642-6294,Theater,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
Atlantic Avenue Local Development Corporation,494 Atlantic Avenue,Brooklyn,NY,11217,(212) 710-0010,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
Atlantic Theater Company,"76 Ninth Avenue, Ste. 537",New York,NY,10011,(212) 691-5919,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Audience Development Committee, Inc.",P.O. Box 30,New York,NY,10027,(212) 368-6906,Theater,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
"Audience, Inc.",39 Avenue A,New York,NY,10009,(646) 351-9859,Film/Video/Audio,Brooklyn Council District #33,Brooklyn Community Board #6,Manhattan
Australian Aboriginal Theatre Initiative,60 2nd Avenue,New York,NY,10003,(212) 533-0889,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Autonomedia, Inc.",P.O. Box 568 Williamsburgh Station,Brooklyn,NY,11211,(718) 963-2603,Literature,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
"Avant Media Performance, Inc.","113 South 2nd Street, #1B",Brooklyn,NY,11211,(212) 372-3326,"Multi-Discipline, Performing",Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn
Ayazamana Cultural Center,32-22 48 Street,Long Island City,NY,11103,(646) 229-5867,"Multi-Discipline, Performing",Queens Council District #26,Queens Community Board #2,Queens
Azure Ensemble,"c/o Susan Glaser, Steinhardt School, NYU",New York,NY,10012,(212) 222-3067,Music,Manhattan Council District #9,Manhattan Community Board #7,Manhattan
BAM Local Development Corporation,80 Hansen Place,Brooklyn,NY,11217,(718) 907-4411,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
BCA Development Corporation,1738 Hone Avenue,Bronx,NY,10461,(718) 401-9558,,,,Bronx
"BCT Brooklyn Children's Theatre, Inc.",135 Prospect Park SW #B7,New York,NY,11218,(646) 675-0325,Theater,Brooklyn Council District #39,Brooklyn Community Board #7,Brooklyn
BRIC Arts Media Bklyn,647 Fulton Street,Brooklyn,NY,11217,(718) 683-5600,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
Bailey's Cafe,324 Malcolm X Boulevard,Brooklyn,NY,11233,(347) 721-2152,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn
"Baja Musical Arts Initiative, Inc.",601 W 26TH ST SUITE 325-257,New York City,NY,10001,(646) 996-9467,Music,Manhattan Council District #3,Manhattan Community Board #3,Bronx
Balance Dance Theatre,181 East 91st Street,Brooklyn,NY,11212,(718) 624-6414,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
Balinese American Dance Theatre,"23 West 35th Street, 2nd Floor",New York,NY,10001,(646) 361-9183,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Ballet Ambassadors, Inc.","160 West 71st Street, Ste. 18A",New York,NY,10023,(212) 600-0018,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Ballet Hispanico of New York, Inc.",167 West 89 Street,New York,NY,10024,(212) 362-6710 x23,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Ballet Next, Inc.",243 West 60th Street,New York,NY,10023,(212) 203-0409,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Ballet Orchestra of New York City,438 East 76th Street #4-C,New York,NY,10021,(212) 988-2148,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
"Ballet Tech Foundation, Inc.","890 Broadway, 8th Floor",New York,NY,10003,(212) 777-7710 x314,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
"Ballet Theatre Foundation, Inc.","890 Broadway, 3rd Floor",New York,NY,10003,(212) 477-3030 x1188,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
Trusty Sidekick Theater Company,370 Ocean Parkway,New York,NY,11218,(718) 964-7974,Theater,Brooklyn Council District #39,Brooklyn Community Board #12,Manhattan
Tug Pegasus Preservation Project,83 Murray Street,New York,NY,10007,(212) 406-2225,Museum,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Tung Ching Chinese Center for the Arts, Inc.",54-17 90th Street,Elmhurst,NY,11373,(917) 981-7089,Folk Arts,Queens Council District #25,Queens Community Board #4,Queens
Turtle Bay Music School,244 East 52nd Street,New York,NY,10022,(212) 753-8811 x13,Music,Manhattan Council District #5,Manhattan Community Board #6,Manhattan
"Twin Lions, Inc.","2576 Broadway, No. 412",New York,NY,10025,(212) 937-7979,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Two Bridges Neighborhood Council, Inc.",275 Cherry St,New York,NY,10002,(212) 566-2729,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"UBW, Inc.","138 South Oxford Street, Apt. 4B",Brooklyn,NY,11217,(718) 398-7414,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"UNIONDOCS, Inc.",322 Union Ave,Brooklyn,NY,11211,(718) 395-7902,Film/Video/Audio,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn
"UP Theater Company, Inc.",60 Cooper Street,New York,NY,10034,(646) 296-3180,Theater,Manhattan Council District #10,Manhattan Community Board #12,Manhattan
"US-China Arts Exchange Center, Inc.","136-31 41 Avenue, Apt. 4C",Flushing,NY,11355,(718) 390-0666,Folk Arts,Queens Council District #20,Queens Community Board #7,Queens
USA Mali Charitable Association,136th st,Harlem,NY,10030,(917) 557-2298,Dance,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
"Udichi School of Performing Arts New York, Inc.",65 PIERPONT PLACE,STATEN ISLAND,NY,10314,(917) 693-5021,"Multi-Discipline, Performing",Staten Island Council Dist #50,Staten Island Community Brd #2,Queens
Ugly Duckling Presse,232 Third St. #E002,Brooklyn,NY,11215,(347) 948-5170,Literature,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
"Ujamaa Black Theater, Inc.",120 Erskine Place,Bronx,NY,10475,(212) 391-8151 x21,Theater,Bronx Council District #12,Bronx Community Board #5,Bronx
Ukrainian Museum,222 East Sixth Street,New York,NY,10003,(212) 228-0110,Museum,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Uncle Yao's Chorus, Inc.","140-39 34th Ave., #4R",Flushing,NY,11354,(516) 476-6888,"Multi-Discipline, Performing",Queens Council District #20,Queens Community Board #7,Queens
Underground Development Foundation,5 White Street,New York,NY,10013,(718) 594-4702,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Underworld Productions Opera Ensemble,"10 Park Terrace East, Ste. 4-C",New York,NY,10034,(212) 304-1472,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan
United Haitian Association of USA,4114 Avenue D,Brooklyn,NY,11203,(646) 639-0936,Music,Brooklyn Council District #40,Brooklyn Community Board #17,Brooklyn
United Palace of Cultural Arts,P.O. Box 1168,New York,NY,10040,(212) 568-1157,"Multi-Discipline, Performing",Manhattan Council District #10,Manhattan Community Board #12,Manhattan
"United Senior Citizen of Sunset Park,Inc",475 53rd Street,Brooklyn,NY,11220,(718) 439-8646 x11,"Multi-Discipline, Performing",Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn
United States Sierra Leonean Association,141 Park Hill Avenue,"Staten Island,",NY,10304,(715) 524-4529,Dance,Staten Island Council Dist #49,Staten Island Community Brd #2,Staten Island
"Unity Stage Company, Inc.",39-21 46 Street,Sunnyside,NY,11104,(917) 548-1086,"Multi-Discipline, Performing",Queens Council District #26,Queens Community Board #2,Queens
"Universal Communications Network, Inc.","229 West 28th Street, Suite 1200",New York,NY,10001,(212) 736-8535,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Universal Temple of the Arts, Inc.",475 Jersey Street,Staten Island,NY,10301,(718) 273-5610,"Multi-Discipl, Perf & Non-Perf",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
"Universal Theater Alliance, Inc.",100 Summit Street,Brooklyn,NY,11231,(646) 322-1542,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
University Settlement Society of New York,184 Eldridge Street,New York,NY,10002,(212) 453-0248,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Untitled Theater Company #61,"215 West 95th Street, #11G",New York,NY,10025,(212) 866-1073,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"UpBeat NYC, Inc.",468 East 138th Street,Bronx,NY,10454-3002,(718) 766-5291,Music,Bronx Council District #17,Bronx Community Board #1,Bronx
"Uptown Dance Academy, Inc.","1425 Amsterdam Avenue, Ste. 5G",New York,NY,10027,(917) 202-1601,Dance,Manhattan Council District #8,Manhattan Community Board #11,Manhattan
Urban Arts Partnership,"21 Howard Street, 5th Floor",New York,NY,10013,(212) 966-5881,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Urban Ballet Theater,"5 West 102nd Street, Apt. 5B",New York,NY,10025,(212) 663-7140,Dance,Manhattan Council District #8,Manhattan Community Board #7,Manhattan
"Urban Divers Marine Conservation & Scientific Diving, Inc.",c/o UDEC,Brooklyn,NY,11231,(718) 901-3331,Other,Bronx Council District #16,Bronx Community Board #5,Brooklyn
Urban Word NYC,242 West 27th Street,New York,NY,10001,(212) 334-6414,Literature,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"UrbanGlass: New York Contemporary Glass Center, Inc.",647 Fulton St.,Brooklyn,NY,11215,(718) 625-3685 x225,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Urzone, Inc.",633 Vanderbilt St,Brooklyn,NY,11218,(718) 686-0048,Humanities,Brooklyn Council District #39,Brooklyn Community Board #7,Brooklyn
"Vampire Cowboys, Inc.",170 East 4th Street,Brooklyn,NY,11218,(212) 696-7806,Theater,Brooklyn Council District #34,Brooklyn Community Board #4,Brooklyn
Van Alen Institute: Projects in Public Architecture,30 West 22nd Street 6th Floor,New York,NY,10010,(212) 924-7000,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Van Cortlandt Park Conservancy,1 Bronx River Parkway,Bronx,NY,10462,(718) 430-1890,"Multi-Discipline, Performing",Bronx Council District #15,Bronx Community Board #11,Bronx
"Vangeline Theater, Inc.","494 Court Street, #4",Brooklyn,NY,11231,(917) 749-9062,"Multi-Discipline, Performing",Brooklyn Council District #39,Brooklyn Community Board #6,Manhattan
"Variations Theatre Group, Inc.",21- 28 45th Rd,Long Island City,NY,11101,(646) 580-6003,Theater,Queens Council District #26,Queens Community Board #2,Queens
"Variety Boys & Girls Club of Queens, Inc.",Variety Boys & Girls Club of Queens,Long Island City,NY,11102,(718) 728-0946,"Multi-Discipl, Perf & Non-Perf",Queens Council District #26,Queens Community Board #1,Queens
Verrazano Foundation,777 Seaview Avenue,Staten Island,NY,10305,(718) 667-2832,Visual Arts,Staten Island Council Dist #50,Staten Island Community Brd #2,Staten Island
"Vertical Player Repertory, Ltd.",219 Court St,New York,NY,11201,(718) 624-3310,Music,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
"Victory Music & Dance Company, Inc.",629 Osborn Street,Brooklyn,NY,11212,(917) 270-6528,"Multi-Discipline, Performing",Brooklyn Council District #42,Brooklyn Community Board #16,Brooklyn
"Village Halloween Parade, Inc.",c/o Peter Rosegarten,New York,NY,10016,(845) 758-5519,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Village Light Opera Group, Ltd.",P.O. Box 143,New York,NY,10014,(212) 620-7300,Theater,Manhattan Council District #2,Manhattan Community Board #1,Manhattan
VillarHauser Theatre Development Fund,450 West 17th Street,New York,NY,10011,(917) 304-6823,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Vineyard Theatre and Workshop Center, Inc.",108 East 15th Street,New York,NY,10003,(212) 353-3366 x213,Theater,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
"Visible Theatre, Inc.","201 East 28th Street, #3E",New York,NY,10016,(212) 615-3199,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan
"VisionIntoArt Presents, Inc.",25 Columbus Circle 68B,New York,NY,10019,(917) 544-1482,Music,Manhattan Council District #2,Manhattan Community Board #2,Manhattan
"Visual AIDS for the Arts, Inc.","526 West 26th Street, Ste. 510",New York,NY,10001,(212) 627-9855,Visual Arts,Manhattan Council District #4,Manhattan Community Board #4,Manhattan
Visual Arts Resource Center Relating to the Caribbean,"1825 Park Avenue, Suite 602",New York,NY,10035,(212) 307-7420,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #6,Manhattan Community Board #4,Manhattan
"Visual Understanding in Education, Inc",109 South Fifth Street,Brooklyn,NY,11211,(212) 253-9007,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
